,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
13222,10701,Ulysses 31 Pilot,ULYSSES 31,Unknown,Unaired pilot episode for the TV series.,Special,1.0,Finished Airing,1980,Not Available,Unknown,Unknown,TMS Entertainment,Unknown,"Action, Adventure, Sci-Fi",Space,Unknown,24.0,G - All Ages,5.761,226.0,101082.0,13238,643,0,1980.0
14214,24677,Gegege no Kitarou: Kitarou Tanjou-hen,鬼太郎的誕生,Unknown,"A short special ""Birth of Kitarou"" aired in 1980.",Special,1.0,Finished Airing,1980,Not Available,Unknown,Unknown,Toei Animation,Manga,Supernatural,Unknown,Unknown,3.0,G - All Ages,,,180142.0,14235,460,0,1980.0
12271,34930,Joubuna Tire!,じょうぶなタイヤ!,Unknown,Amateur animation by 20-year-old Hideaki Anno while he was studying at Osaka University of Arts. The short features a speeding car with physics-defying tires.,Special,1.0,Finished Airing,1980,Not Available,Unknown,Unknown,Unknown,Original,Unknown,Racing,Unknown,1.0,G - All Ages,5.061,460.0,122872.0,12284,887,0,1980.0
15837,26447,Uchuusen Sagittarius Pilot,宇宙船サジタリウス,Unknown,"The pilot episode made for Uchuusen Sagittarius. Features the original comic book art and no voice acting.

(Source: Wikipedia)",Special,1.0,Finished Airing,1982,Not Available,Unknown,Unknown,Unknown,Original,"Adventure, Sci-Fi",Unknown,Unknown,5.0,G - All Ages,5.741,127.0,102112.0,15861,307,0,1982.0
17849,52700,Suntory Can Beer CMs,サントリーCANビール 幸福物語,Unknown,Unknown,Special,9.0,Finished Airing,1983,1984,Unknown,Unknown,Unknown,Unknown,Romance,Anthropomorphic,Unknown,28.0,PG-13 - Teens 13 or older,,,153212.0,17876,179,0,1983.0
12811,30420,Dr. Slump: Arale-chan no Koutsuu Anzen,Dr.スランプアラレちゃんの交通安全,Unknown,"The gang goes on a picknick Sunday morning. Arale almost gets run over when she crosses the street without looking. Senbei makes a rice machine that brings pictures to life, one of which is a bicycle. Tarou and Akane get in trouble for their reckless riding. The next day, everyone goes to school and Tarou doesn't abide to his lessons from the previous day and crashes into a truck when he speeds at an intersection. ",Special,2.0,Finished Airing,1983,Not Available,Unknown,Unknown,Toei Animation,Manga,"Comedy, Sci-Fi",Educational,young boy,13.0,G - All Ages,5.641,197.0,106102.0,12825,738,2,1983.0
18636,41902,Canon T-70: Mirai Toshi-hen,未来都市篇,Unknown,"Four years before the cult classic anime 'Akira' was released, legendary artist Katsuhiro Otomo created two commercials for the debut of the Canon T-70.

(Source: Thirdculture)
",Special,2.0,Finished Airing,1984,Not Available,Unknown,Unknown,Unknown,Unknown,Sci-Fi,Unknown,Unknown,25.0,G - All Ages,,,172332.0,18662,133,1,1984.0
13303,34878,Dr. Slump: Arale-chan - Penguin Mura no Shouboutai,Dr.スランプ アラレちゃん ペンギン村の消防隊,Unknown,The cast of Dr. Slump: Arale-chan help promote fire safety. ,Special,1.0,Finished Airing,1984,Not Available,Unknown,Unknown,Unknown,Manga,"Comedy, Sci-Fi",Educational,young boy,11.0,PG-13 - Teens 13 or older,5.731,171.0,102422.0,13320,625,0,1984.0
14335,28305,Broots,BROOTS,Unknown,"The original six-minute ""pilot"" featured a slightly different version of Might Orbots called Broots (pronounced ""Brutes""). Rob and Ono looked similar to their 'finished' selves, though definitively more late 70s-like. The Orbots, while having the same names as in the finished product, are subtly different, and obviously unfinished. Even their combined form aka ""Super-Broots"" would go through some more developmental evolution before becoming Mighty Orbots.

(Source: Wikipedia)",Special,1.0,Finished Airing,1984,Not Available,Unknown,Unknown,TMS Entertainment,Original,Sci-Fi,Mecha,Unknown,5.0,PG - Children,4.941,238.0,124802.0,14358,443,1,1984.0
11768,13789,Little Nemo Pilot (1984),リトル・ニモ パイロット,Little Nemo Adventures in Slumberland Pilot,"Little Nemo: Adventures in Slumberland was released in American theaters in 1992. However, at one point earlier in its development many people from Studio Ghibli (Spirited Away, My Neighbour Totoro) had been involved with the project. In 1984 they produced this test pilot. ",Special,1.0,Finished Airing,1984,Not Available,Tokyo Movie Shinsha,Discotek Media,TMS Entertainment,Picture book,Adventure,Unknown,Unknown,3.0,G - All Ages,6.141,493.0,83352.0,11780,1056,0,1984.0
10289,17787,Ouritsu Uchuugun: Honneamise no Tsubasa Pilot,王立宇宙軍 オネアミスの翼 パイロットフィルム,Unknown,Short film/pilot from year 1985 for the Royal Space Force movie that came out two years later.,Special,1.0,Finished Airing,1985,Not Available,Unknown,Bandai Visual USA,Gainax,Original,Sci-Fi,Unknown,teenager,4.0,PG-13 - Teens 13 or older,5.921,702.0,94552.0,10301,1866,1,1985.0
18011,11711,Me wo Samase Toragorou,目をさませトラゴロウ,Unknown,"There lived a tiger in the bamboo forest on the top of the mountain. He went by the name of ""Tigger"". Tigger the tiger was the Tiger of tigers.
He was a lazy fellow always thinking of Nikuman (a dumpling).

Then, there came the Hunter. With a bang, he shot and killed the animals. He thought there were no threat to man in the world. 

But he had come to wake to Tigger, the Wild Tiger!

(Source: Official website)",Special,1.0,Finished Airing,1985,Not Available,N&G Production,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,17.0,G - All Ages,,,133512.0,18037,170,1,1985.0
18407,45627,Victor Hyper Robot Compo CM's,ビクター ロボットコンポCM,Unknown,"TV adverts produced by Gainax and Madahouse for Victor Hyper Robot Compo. 
Rintaro directed the first CM. Anno Hideaki was responsible for the storyboard, lighting effects and animation of flashing indicators in second CM.

(Source: Tokyo International Film Festival 2014, edited)",Special,2.0,Finished Airing,1986,1987,Unknown,Unknown,Gainax,Original,"Fantasy, Sci-Fi",Unknown,Unknown,30.0,PG-13 - Teens 13 or older,,,158672.0,18433,148,1,1986.0
11877,19279,Pony Metal U-GAIM Promotion Film,PONY METAL U-GAIM PROMOTION FILM,Unknown,"This is a short little pilot film inserting Yuu Morisawa, the heroine of Creamy Mami, into the mecha world of Heavy Metal L-Gaim. 

After Yuu Morisawa is killed in a car accident, she is rebuilt as Pony Metal U-GAIM in a scenario à la Astroboy. Put to a high-energy Japanese pop song, this experimental mishmash of genres was the brainchild of studio Anime R. 

The series was never made for copyright reasons, and this pilot film is all that remains alongside a handful of merchandise.",Special,1.0,Finished Airing,1986,Not Available,Anime R,Unknown,Unknown,Unknown,"Action, Sci-Fi","Mecha, Music, Parody",Unknown,2.0,G - All Ages,5.621,444.0,106632.0,11889,1015,2,1986.0
11123,9851,O-parts: Oman,オーパーツ オーマン,Unknown,Something strange happens in girls' school...,Special,1.0,Finished Airing,1987,Not Available,Studio AWAKE,Unknown,Unknown,Unknown,"Action, Comedy, Hentai",Mecha,Unknown,6.0,Rx - Hentai,4.731,566.0,,11133,1349,5,1987.0
12652,22943,Mugen Senshi Valis,夢幻戦士ヴァリス,Valis The Fantasm Soldier,"Mugen Senshi Valis is a Japanese platform game series developed by Telenet Japan.

The Valis games (as they were known in America) tell the story of Yuko Asou, a Japanese student of the late 1980s that is bound to protect three different kingdoms - our own land, the land of the Spirits, and Vecanti, the world of dreams, by using a mystical sword called Valis.

This short anime clip was made as TV commercial for the Nintendo Famicom game.",Special,1.0,Finished Airing,1987,Not Available,Studio Fantasia,Unknown,Sunrise,Game,"Action, Adventure, Fantasy",Unknown,Unknown,3.0,PG-13 - Teens 13 or older,5.611,352.0,107012.0,12666,779,2,1987.0
12324,20463,Little Nemo Pilot (1987),リトル・ニモ パイロット,Little Nemo Pilot,"Little Nemo: Adventures in Slumberland was released in American theaters in 1992. However, at one point earlier in its development many people from Studio Ghibli (Spirited Away, My Neighbour Totoro) had been involved with the project. In 1984 they produced a test pilot. In 1987, Osamu Dezaki directed a third one (as a very first one was made by Sadao Tsukioka in the mid-1970s).",Special,1.0,Finished Airing,1987,Not Available,Tokyo Movie Shinsha,Discotek Media,TMS Entertainment,Picture book,Adventure,Unknown,Unknown,10.0,G - All Ages,5.891,358.0,95992.0,12337,872,2,1987.0
12253,8647,Self-Portrait,セルフポートレート,Animated Self Portraits A Portrait of Kawamoto,A stop motion short film by Kihachiro Kawamoto. This short film humorously shows what happens when the artist creates a being that insists on 'creating' the artist.,Special,1.0,Finished Airing,1988,Not Available,Unknown,Unknown,Unknown,Original,Comedy,"Mythology, Visual Arts",Unknown,1.0,G - All Ages,4.661,517.0,128052.0,12266,890,0,1988.0
12603,36287,Doraemon Eigo Kyoushitsu,ドラえもん英語敎室,Early English with Doraemon,"""Early English with Doraemon is a short film consisting of mainly of English Children Songs animated to Doraemon. This is a short segment that teaches you to learn to speak English."" 

(Source: Doraemon Wiki)",Special,3.0,Finished Airing,1988,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,15.0,PG - Children,5.991,317.0,91022.0,12616,792,1,1988.0
18370,27961,Science Anime: Choudendou Monogatari,サイエンスアニメ・超伝導物語,Unknown,"The science department of the Tosai Shinbun newspaper investigates a story on superconductors, learning all about the mysterious world of subzero electrical conductivity, the Meissner Effect, Brian Josephson's work on ""tunneling"" (flow across an insulating layer without application of voltage), and implications for super-computer technology in the 21st century. Meanwhile, attractive reporter Miss Ohashi begins to find bespectacled scientist Dr. Arai rather attractive.

(Source: The Anime Encyclopedia)",Special,1.0,Finished Airing,1988,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Historical,Kids,60.0,G - All Ages,,,147432.0,18396,150,1,1988.0
13207,10594,Tokimeki Tonight Recaps,ときめきトゥナイト・スペシャル,Unknown,"Recaps of some episodes from the TV series. Includes new humorous sketches called ""Tokimeki a la Carte"".",Special,2.0,Finished Airing,1988,Not Available,"Group TAC, Toho",Unknown,Unknown,Unknown,"Comedy, Fantasy, Romance",Vampire,young girl,49.0,PG-13 - Teens 13 or older,6.041,164.0,88792.0,13223,645,1,1988.0
7516,5270,All That Gundam,ALL THAT GUNDAM,All That Gundam,"Animated video created just for a 1989 event that featured all the major mobile suit robots from the first 10 years of the Gundam anime franchise.

(Source: ANN)",Special,1.0,Finished Airing,1989,Not Available,Atelier Musa,Unknown,Sunrise,Original,"Action, Sci-Fi",Mecha,Unknown,1.0,G - All Ages,5.801,2272.0,99222.0,7522,5087,19,1989.0
13884,34720,In Search of Axis,In Search of Axis,In Search of Axis,Polygon Pictures Inc.'s first animated work.,Special,3.0,Finished Airing,1989,1991,Unknown,Unknown,Polygon Pictures,Original,Avant Garde,Unknown,Unknown,2.0,G - All Ages,4.611,299.0,128392.0,13904,512,4,1989.0
17938,45626,Battle Mode,アニメショップパロディ／BATTLE MODE,Unknown,"Promotional video for an anime shop ""Parody"" in Nara Prefecture.

(Source: Tokyo International Film Festival 2014, edited)",Special,1.0,Finished Airing,1990,Not Available,Unknown,Unknown,Gainax,Original,Action,Parody,Unknown,1.0,PG-13 - Teens 13 or older,,,170492.0,17964,175,1,1990.0
20331,52307,Chibi Maruko-chan Pilot Film,ちびまる子ちゃん パイロットフィルム,Unknown,Unknown,Special,1.0,Finished Airing,1990,Not Available,Unknown,Unknown,Unknown,Manga,Slice of Life,Unknown,young girl,1.0,G - All Ages,,,173262.0,20357,44,0,1990.0
17536,11713,Suisenzuki no Yokka,水仙月の四日,Unknown,"When Narcissus's begin to bloom, 
Spring is just around the corner.
But today is the fourth of the Narcissus Month, 
the day of Winter's last icy breath...

The original story of this film was written by Kenji Miyazawa, the most famous fairy-tale writer and poet in Japan.

(Source: Official website)",Special,1.0,Finished Airing,1990,Not Available,N&G Production,Unknown,Unknown,Unknown,Fantasy,Unknown,Kids,12.0,G - All Ages,,,153072.0,17562,199,0,1990.0
19612,42286,Heukkkokdujanggun,흙꼭두장군,General of the Earth,Unknown,Special,1.0,Finished Airing,1991,Not Available,Unknown,Unknown,Unknown,Novel,"Drama, Fantasy",Unknown,Unknown,83.0,G - All Ages,,,183632.0,19638,64,1,1991.0
17119,25051,Miracle Giants Doumu-kun Special,ミラクル・ジャイアンツ童夢くん,Unknown,"Doumu befriends a boy named Kenji, which leads to him improving his pitch. 
",Special,1.0,Finished Airing,1991,Not Available,Yomiko Advertising,Unknown,Unknown,Unknown,Sports,Team Sports,Unknown,62.0,PG - Children,,,135032.0,17144,222,0,1991.0
6849,10581,Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,機動戦士ガンダム 0083 スターダストメモリー 宇宙の蜉蝣,Unknown,"Mayfly reveals Cima's backstory in flashbacks as she reflects on her past prior to the events of Episode 13. It reveals that Cima and her unit poisoned a Side 5 colony using G-3 nerve gas, under orders, but were treated as pariahs afterwards by their own countrymen for committing such an atrocity. At the end of the war her superior refused to let her retreat to Axis. Because their home colony Mahal had been converted into a weapon, Cima and her men were left stranded and homeless.

(Source: Wikipedia)",Special,1.0,Finished Airing,1992,Not Available,Unknown,Unknown,Sunrise,Radio,"Action, Drama, Sci-Fi","Mecha, Military, Space",Unknown,3.0,PG-13 - Teens 13 or older,5.961,2716.0,92462.0,6855,6336,3,1992.0
15986,17657,Chibi Neko Tomu no Daibouken: Chikyuu wo Sukue! Nakama-tachi,ちびねこトムの大冒険 地球を救え！なかまたち,Unknown,"Anime adaptation of children's stories ""The Adventures of Tom the small Cat"" by Masumi Lino (飯野真澄) (Story) and Yumiko Imai (今井弓子) (Illustrations).",Special,1.0,Finished Airing,1992,Not Available,Unknown,Unknown,Unknown,Unknown,Adventure,Unknown,Kids,85.0,G - All Ages,,,173302.0,16009,298,1,1992.0
20073,51677,World Heroes,ワールドヒーローズ,Unknown,An animated special based on the World Heroes fighting game series by ADK.,Special,1.0,Finished Airing,1993,Not Available,Unknown,Unknown,Unknown,Game,"Action, Fantasy, Sci-Fi, Supernatural","Super Power, Time Travel",Unknown,2.0,PG-13 - Teens 13 or older,,,160012.0,20101,50,0,1993.0
12610,23825,Ys IV: The Dawn of Ys,イースIV 新作 OVA,Unknown,"This was an animated promotional video that Falcom commissioned for Ys IV: The Dawn of Ys game for PC Engine, to shop around to various production houses. This was done in hopes of getting it made into a full-scale animated series/movie/etc., but it never panned out.

(Source: You Tube)",Special,1.0,Finished Airing,1993,Not Available,Unknown,Unknown,Unknown,Game,"Action, Adventure, Fantasy",Strategy Game,Unknown,3.0,PG-13 - Teens 13 or older,5.691,312.0,104052.0,12624,791,0,1993.0
20119,52924,Atama,ATAMA,Unknown,Short animation by Keita Kurosaka for MTV Japan.,Special,1.0,Finished Airing,1994,Not Available,Unknown,Unknown,Unknown,Original,"Avant Garde, Horror, Suspense","Gore, Psychological",Unknown,23.0,R - 17+ (violence & profanity),,,169112.0,20145,49,0,1994.0
14647,7449,Pacusi no Uta,パクシのうた,Unknown,Special episode of Pacusi.,Special,1.0,Finished Airing,1994,Not Available,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,1.0,G - All Ages,5.211,188.0,119722.0,14669,406,0,1994.0
17713,34722,Shiseido HG Super Hard,資生堂 HGスーパーハード,Unknown,Shiseido commissioned commercials for their Super Hard hair mousse product.,Special,6.0,Finished Airing,1995,1997,Unknown,Unknown,Polygon Pictures,Original,Comedy,Unknown,Unknown,15.0,G - All Ages,,,150122.0,17739,187,1,1995.0
19536,52615,Shounen Sunday CM: LOVe,CM 小学館 少年サンデー 「LOVe」編,Unknown,LOVe television commercial for the Shounen Sunday magazine.,Special,1.0,Finished Airing,1996,Not Available,Unknown,Unknown,Unknown,Manga,Sports,Unknown,young boy,30.0,G - All Ages,,,150502.0,19563,69,0,1996.0
20637,52033,Naeireun Woldeukeop,내일은 월드컵,Unknown,Unknown,Special,1.0,Finished Airing,1996,Not Available,Sunwoo Entertainment,Unknown,Unknown,Unknown,Sports,Team Sports,Unknown,73.0,PG-13 - Teens 13 or older,,,137062.0,20667,35,0,1996.0
15997,40350,Shounen Sunday CM: Ganba! Fly High,CM 小学館 少年サンデー「ガンバ！Fly high」編,Unknown,Ganba! Fly High television commercial for Shounen Sunday magazine.,Special,1.0,Finished Airing,1996,Not Available,Unknown,Unknown,Unknown,Manga,Sports,Unknown,young boy,29.0,G - All Ages,5.231,144.0,119322.0,16023,298,1,1996.0
18558,41904,Korakuen Yuuenchi: Luna Park,後楽園ゆうえんち ルナパーク,Unknown,"An animated TV commercial for the Japanese Amusement Park 'Korakuen Yuuenchi' directed by Katsuhiro Otomo. Otomo's illustrations are also been used in the printed campaign.

(Source: Chronotomo)",Special,1.0,Finished Airing,1996,Not Available,Unknown,Unknown,Studio 4°C,Original,Unknown,Unknown,Unknown,14.0,G - All Ages,,,193392.0,18584,138,0,1996.0
14246,10335,Konpeki no Kantai: Sourai Kaihatsu Monogatari,紺碧の艦隊 特別編 蒼莱開発物語,Unknown,A special which tells the story of the development of the japanese Sourai interceptor plane. ,Special,1.0,Finished Airing,1997,Not Available,Unknown,Unknown,J.C.Staff,Unknown,Unknown,"Historical, Military",Unknown,39.0,None,,,193352.0,14267,455,0,1997.0
20297,52923,Papa ga Tonda Asa,パパが飛んだ朝,Unknown,Short animation by Keita Kurosaka for MTV Japan.,Special,1.0,Finished Airing,1997,Not Available,Unknown,Unknown,Unknown,Original,"Avant Garde, Horror, Suspense","Gore, Psychological",Unknown,16.0,R - 17+ (violence & profanity),,,142222.0,20325,45,0,1997.0
10680,1503,Mahou Shoujo Pretty Sammy Specials,魔法少女プリティサミー(1996),Magical Project S Specials,Special episodes.,Special,7.0,Finished Airing,1997,Not Available,"APPP, Pioneer LDC, Studio Tulip",Geneon Entertainment USA,AIC,Unknown,"Adventure, Comedy, Fantasy","Mahou Shoujo, Parody",teenager,3.0,PG - Children,6.251,473.0,77702.0,10692,1613,2,1997.0
7753,4162,Taiho Shichau zo: Nagisa no Koutsuu Yuudou,逮捕しちゃうぞ 渚の交通誘導,You're Under Arrest Diverting Traffic at the Beach,"Summer arrives to Bokuto Station. Miyuki and Natsumi have to work on a beach road protecting the safety of the civilians that are enjoying their summer vacations. Suffering because of the hot, the two officers were having problems to remain calm, but then, some pickpocket appeared on the beach causing a ruckus. The girls will do their best to catch the thief, control the traffic and enjoy their summer day.
",Special,1.0,Finished Airing,1997,Not Available,"Bandai Visual, TBS",AnimEigo,Studio Deen,Manga,"Action, Comedy","Adult Cast, Detective, Workplace",teenager,24.0,PG-13 - Teens 13 or older,7.031,1990.0,37992.0,7759,4694,3,1997.0
17202,40346,Shounen Sunday CM: Tuxedo Gin,CM 小学館 少年サンデー「タキシード銀」編,Unknown,Tuxedo Gin commercial for Shounen Sunday magazine.,Special,1.0,Finished Airing,1997,Not Available,Unknown,Unknown,Unknown,Manga,"Comedy, Supernatural",Unknown,young boy,30.0,PG-13 - Teens 13 or older,5.431,124.0,113382.0,17227,218,0,1997.0
17449,32732,Teo the Magic Planet Pilot,TEO THE MAGIC PLANET,Unknown,A failed pilot for an anime adaptation of the video game Teo: Mou Hitotsu no Chikyuu.,Special,1.0,Finished Airing,1997,Not Available,Unknown,Unknown,Unknown,Game,"Adventure, Fantasy",Unknown,Unknown,9.0,G - All Ages,,,155082.0,17474,204,0,1997.0
12769,9801,Hustle!! Tokitama-kun,ハッスル!! とき玉くん,Tokitama Hustle,"Director's description: ""I want to show you a world that you have never seen."" I think this is something that all computer graphics producers strive for. What to create?! How do you create it with computer graphics? The skill of drawing does not change that much when performed on a computer instead of paper. This work is a mixture of traditional cel-based animation, 3-D animation and 2-D computer graphics techniques, each with its own history and production standards. My theme for this production was ""The Transformation of Time and Space."" I used ToonShader and hand drawn animation to achieve the desired effect. I think that I have succeeded in creating a world that you have never seen.

(Source: plaza.bunka.go.jp)",Special,1.0,Finished Airing,1998,Not Available,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,4.0,PG-13 - Teens 13 or older,4.241,352.0,129992.0,12782,746,0,1998.0
14365,28615,Sazae-san: Dawn to Ikka de Hawaii Ryokou,サザエさん ドーンと一家でハワイ旅行,Unknown,A Family Travel special commemorating the 30th Anniversary of Sazae-san series.,Special,1.0,Finished Airing,1998,Not Available,Fuji TV,Unknown,Eiken,Unknown,"Comedy, Slice of Life",Unknown,Unknown,47.0,G - All Ages,,,147402.0,14390,439,1,1998.0
17884,31129,Chichi to Ko,父と子,Unknown,"Giulio wants to lighten the burden on his father by secretly addressing envelopes late at night (his father's 2nd job). Unfortunately Giulio struggles staying awake during the day which angers his family and teacher. Giulio struggles with his father hating him for the lowered grades and keeping the burden off his father who is falling ill from overwork. Giulio decides that his love for his father means that his father's health is more important, even if it means his father will hate him more. One night, the cat knocks over the address book and awakens his father. Finally, it is uncovered that Giulio has been doing and his father falls to tears.",Special,1.0,Finished Airing,1998,Not Available,Gakken,Unknown,Unknown,Unknown,Drama,Unknown,Unknown,21.0,G - All Ages,,,173412.0,17910,177,0,1998.0
11510,3884,Maze☆Bakunetsu Jikuu: Hot Springs,MAZE☆爆熱時空,Maze The Mega-Burst Space - Hot Springs,This is the missing Hot Springs episode included in the unrated boxset of Maze: Mega-Burst Space.,Special,1.0,Finished Airing,1998,Not Available,Unknown,Unknown,Unknown,Manga,"Action, Comedy, Fantasy, Ecchi",Magical Sex Shift,Unknown,22.0,None,6.081,375.0,86162.0,11522,1156,0,1998.0
15369,34719,the FLY BanD!,the FLY BanD!,the FLY BanD!,"The FLY BanD is a group of funky, fashionable musicians from NY who have an outstanding sense of rhythm and groove. They start another music session using daily products somewhere in the world.

(Source: Official Youtube channel)
",Special,1.0,Finished Airing,1998,Not Available,Unknown,Unknown,Polygon Pictures,Original,Unknown,Music,Unknown,3.0,G - All Ages,4.981,175.0,124142.0,15392,344,1,1998.0
16605,25599,Vampiyan Kids Promotion,プロモーション,Unknown,"This shows the pre-character designs and the pre-pilot scenes in animated in 3D CG. It is part animation, part live-action. The live-action part shows Suzuka Yoshida as she is the original character designer for the franchise with her drawing coming to life.",Special,1.0,Finished Airing,1999,Not Available,Unknown,Unknown,Production I.G,Original,"Comedy, Fantasy",Unknown,Kids,2.0,G - All Ages,,,158622.0,16630,254,0,1999.0
14681,25969,Clock,CLOCK,Unknown,A bizarre short about a man who wakes up by a bunch of clocks only to act as a cuckoo clock for a room full of chickens at a bar.,Special,1.0,Finished Airing,1999,Not Available,Unknown,Unknown,RG Animation Studios,Original,Avant Garde,Unknown,Unknown,1.0,G - All Ages,4.881,160.0,125552.0,14703,404,0,1999.0
19184,52131,Boogiepop Dengeki Bunko CMs,ブギーポップ 電撃文庫CM,Unknown,Commercials made to promote release of Boogiepop novels. They are fully animated and use Kouji Ogata's character designs.,Special,2.0,Finished Airing,1999,Not Available,ASCII Media Works,Unknown,Unknown,Light novel,Suspense,Psychological,Unknown,30.0,PG-13 - Teens 13 or older,,,171602.0,19210,95,0,1999.0
14737,29283,Uchuu Kaizoku Mito no Daibouken Pilot,宇宙海賊ミトの大冒険,Unknown,A short prequel to Uchuu Kaizoku Mito no Daibouken series.,Special,1.0,Finished Airing,1999,Not Available,Bandai Visual,Unknown,Triangle Staff,Original,"Comedy, Sci-Fi",Unknown,Unknown,4.0,PG-13 - Teens 13 or older,,,157742.0,14759,399,0,1999.0
11640,4420,Vampiyan Kids: Pilot,なんちゃってバンパイヤン,Unknown,A young boy ends up at a castle belonging to a vampire and his daughter.,Special,1.0,Finished Airing,1999,Not Available,Unknown,Unknown,Production I.G,Original,"Action, Comedy",Vampire,Kids,18.0,G - All Ages,6.011,479.0,90312.0,11650,1101,1,1999.0
